K00020	193.56	37.9626	21.9672	105.335	53.6961	84.6008	45.8785	35.167	52.1485	82.1723	65.62	107.4	152.256	173.539	12.9796	21.8891	131.957	310.117	0	0	49.283	0	55.023	244.462	0	162.032	75.0734	150.749	70.4659	56.7646	62.386	10.0858	60.126	38.2687	93.8639	262.643	0	85.4484	15.0457
K00021	2.69923	0	0	36.03	22.9244	22.0396	22.1276	28.3299	2.30519	4.4263	0	161.62	45.9038	153.664	9.44263	83.4809	148.423	124.23	0	0	138.081	0	146.906	169.037	150.426	6.01159	438.464	57.8146	0	5.0945	33.5153	0.903537	40.6554	2.21876	19.3834	111.935	13.0419	190.943	0
K00024	1819.96	585.013	422.264	605.193	805.354	984.255	775.582	3202	2095.94	915.837	961.68	35.6425	864.709	162.655	95.4029	1562.65	0	543.812	536.495	1068.11	14.4515	355.491	0	0	0	140.491	0	186.679	535.179	1799.5	147.304	2132.72	315.686	136.943	397.304	129.403	1274.36	747.967	2188.43
K00026	0	0	0	0	194.321	0	0	132.543	0	0	0	47.7633	0	0	11.5861	10.0091	273.746	0	0	0	0	0	0	1187.7	1162.75	17.1784	0	0	0	0	0	2.89574	0	0	214.717	0	34.2909	1.36981	0
K00027	115.838	124.471	107.504	604.37	188.989	364.567	155.659	482.077	250.107	207.237	229.098	182.352	407.926	310.951	112.955	40.1591	80.875	724.586	262.082	351.064	664.927	1377.06	40.3723	185.172	132.431	267.275	756.411	414.144	245.996	393.656	337.028	267.069	288.506	266.898	316.633	236.409	208.553	146.372	312.916
K00029	105.907	30.0694	110.277	54.8669	89.6872	19.298	134.237	100.729	142.501	96.8357	0	5.11113	94.7142	75.0882	27.9999	0	0	230.532	343.625	144.903	33.2735	0	0	0	0	18.4128	0	532.48	70.763	411.665	49.8724	1027.99	51.6742	38.3048	86.5633	15.7925	142.146	58.9227	64.4516
K00030	54.1206	225.347	187.072	58.834	313.533	119.017	160.754	216.723	84.087	37.4125	11.5991	112.249	99.7605	92.3559	210.388	29.3901	1448.71	280.071	7.82607	133.893	0	0	1.52502	1658.67	1731.43	544.91	74.6432	0	69.9046	140.745	21.3441	31.752	29.2315	153.57	241.414	63.142	101.392	98.4345	0
K00031	890.399	279.75	502.523	486.149	687.293	1212.13	163.337	926.347	632.551	167.526	1815.59	53.9576	722.963	191.658	155.621	404.82	333.864	251.825	1223.63	495.905	75.3975	290.9	12.7999	682.041	1176.04	319.391	126.773	654.381	126.834	562.341	181.268	916.677	243.489	468.347	513.803	63.6168	1430.75	265.818	985.275
K00033	2512.82	1609.87	1207.78	957.245	1391.77	1948.73	1541.54	2359.17	2620.37	65.1578	3697.96	1298.25	951.202	991.672	64.1335	944.582	778.008	668.538	552.226	698.976	202.012	960.121	529.199	1552.77	567.301	146.279	921.819	405.89	111.241	1150.23	725.996	1809.48	286.868	2099.71	866.468	1109.94	3889.46	905.143	2416.82
K00036	1034.89	798.896	993.488	937.564	1622.8	1570.93	695.396	1417.13	1477.66	82.0095	1673.03	496.531	457.268	635.3	47.1866	352.37	236.688	388.171	122.785	485.831	77.6138	359.673	281.163	695.361	202.963	76.2739	108.093	244.291	36.3092	1172.53	336.358	803.871	251.574	2458.56	681.107	370.521	1621.36	356.756	1307.95
